date,close
,
2025-10-09,1.3714637756347656
2025-10-10,1.3881053924560547
2025-10-13,1.3832107782363892
2025-10-14,1.3959367275238037
2025-10-15,1.4008313417434692
2025-10-16,1.4096416234970093
2025-10-17,1.4037680625915527
2025-10-20,1.4067049026489258
2025-10-21,1.4037680625915527
2025-10-22,1.4135572910308838
2025-10-23,1.4194308519363403
2025-10-24,1.4145362377166748
2025-10-27,1.4233464002609253
2025-10-28,1.4145362377166748
2025-10-29,1.4106204509735107
2025-10-30,1.4204096794128418
2025-10-31,1.4164940118789673
2025-11-03,1.4282410144805908
2025-11-04,1.4331356287002563
2025-11-05,1.4292199611663818
2025-11-06,1.4399880170822144
2025-11-07,1.4409669637680054
2025-11-10,1.45369291305542
2025-11-11,1.4497771263122559
2025-11-12,1.4585875272750854
2025-11-14,1.4487982988357544
2025-11-17,1.4360723495483398
2025-11-18,1.4301987886428833
2025-11-19,1.439009189605713
2025-11-20,1.4429247379302979
2025-11-21,1.4243254661560059
2025-11-24,1.4155150651931763
2025-11-25,1.4233464002609253
2025-11-26,1.4184519052505493
2025-11-27,1.4223674535751343
2025-11-28,1.4174728393554688
2025-12-01,1.4262832403182983
2025-12-02,1.4282410144805908
2025-12-03,1.4311778545379639
2025-12-04,1.4243254661560059
2025-12-05,1.4223674535751343
2025-12-08,1.4155150651931763
2025-12-09,1.4047470092773438
2025-12-10,1.4008313417434692
2025-12-11,1.3949577808380127
2025-12-12,1.3930000066757202
2025-12-15,1.3949999809265137
2025-12-16,1.3899999856948853
2025-12-17,1.3969999551773071
2025-12-18,1.4049999713897705
2025-12-19,1.406000018119812
2025-12-22,1.4010000228881836
2025-12-23,1.4019999504089355
2025-12-24,1.4019999504089355
2025-12-25,1.402999997138977
2025-12-26,1.4010000228881836
2025-12-29,1.3980000019073486
2025-12-30,1.3949999809265137
2025-12-31,1.4010000228881836
2026-01-05,1.3980000019073486
2026-01-06,1.4079999923706055
2026-01-07,1.4119999408721924
2026-01-08,1.4079999923706055
2026-01-09,1.4140000343322754
2026-01-12,1.4129999876022339
2026-01-13,1.4119999408721924
2026-01-14,1.4019999504089355
2026-01-15,1.3949999809265137
2026-01-16,1.3899999856948853
2026-01-19,1.3919999599456787
2026-01-20,1.4149999618530273
2026-01-21,1.4040000438690186
2026-01-22,1.4049999713897705
2026-01-23,1.3990000486373901
2026-01-26,1.4040000438690186
2026-01-27,1.3910000324249268
2026-01-28,1.4049999713897705
2026-01-29,1.4249999523162842
2026-01-30,1.4119999408721924
2026-02-02,1.3990000486373901
2026-02-03,1.3919999599456787
2026-02-04,1.4129999876022339
2026-02-05,1.4220000505447388
2026-02-06,1.4179999828338623
2026-02-09,1.4270000457763672
2026-02-10,1.4279999732971191
2026-02-11,1.430999994277954
2026-02-12,1.4210000038146973
2026-02-13,1.409999966621399
2026-02-24,1.4160000085830688
2026-02-25,1.409999966621399
2026-02-26,1.4110000133514404
2026-02-27,1.4170000553131104
2026-03-02,1.4290000200271606
2026-03-03,1.4359999895095825
2026-03-04,1.4199999570846558
2026-03-05,1.4229999780654907
2026-03-06,1.4320000410079956
2026-03-09,1.4299999475479126
2026-03-10,1.4279999732971191
2026-03-11,1.4459999799728394
2026-03-12,1.4550000429153442
2026-03-13,1.4570000171661377
2026-03-16,1.4609999656677246
2026-03-17,1.465999960899353
2026-03-18,1.4570000171661377
2026-03-19,1.4559999704360962
2026-03-20,1.4429999589920044
2026-03-23,1.4010000228881836
2026-03-24,1.4290000200271606
2026-03-25,1.434999942779541
2026-03-26,1.4359999895095825
2026-03-27,1.434999942779541
2026-03-30,1.437000036239624
2026-03-31,1.437000036239624
2026-04-01,1.440000057220459
2026-04-02,1.4450000524520874
2026-04-03,1.4279999732971191
2026-04-07,1.4190000295639038
2026-04-08,1.4299999475479126
2026-04-09,1.4190000295639038
2026-04-10,1.4179999828338623
2026-04-13,1.4110000133514404
2026-04-14,1.4149999618530273
2026-04-15,1.4240000247955322
2026-04-16,1.4259999990463257
2026-04-17,1.4190000295639038
2026-04-20,1.4229999780654907
